BuoyID,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Delay(Min),BPT,BP,Ts,Ta,Th,Batt
800001,2002,04,29,05,21,16,88.51433,71.60488,0,-999,-999,-1.79,-999,-999,-999
800001,2002,04,29,08,20,48,88.51649,71.62408,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,29,11,21,12,88.51806,71.52206,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,29,14,21,16,88.51906,71.38735,0,-999,-999,-1.79,-999,-999,-999
800001,2002,04,29,17,21,10,88.51961,71.30231,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,29,20,20,35,88.51859,71.21210,0,-999,-999,-1.79,-999,-999,-999
800001,2002,04,29,23,21,16,88.51765,71.02625,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,30,02,21,16,88.51684,70.80874,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,30,05,21,10,88.51504,70.64710,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,30,08,20,47,88.51224,70.45003,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,30,11,21,16,88.50900,70.11701,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,30,14,21,10,88.50472,69.72378,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,30,17,21,16,88.49765,69.37604,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,30,20,21,18,88.48852,69.00224,0,-999,-999,-1.80,-999,-999,-999
800001,2002,04,30,23,21,34,88.47884,68.55158,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,01,05,20,17,88.46412,67.76445,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,01,08,21,16,88.45900,67.43667,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,01,11,21,40,88.45452,67.05310,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,01,14,20,17,88.45033,66.65575,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,01,20,20,47,88.43912,66.06276,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,01,23,21,40,88.43446,65.77067,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,02,02,20,11,88.43394,65.48599,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,02,05,21,40,88.43771,65.21793,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,02,08,21,12,88.44412,64.89045,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,02,11,20,17,88.44953,64.45091,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,02,14,20,17,88.45239,63.99661,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,02,17,20,17,88.45305,63.63271,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,02,20,20,35,88.45096,63.31187,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,02,23,20,48,88.44765,62.99646,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,03,05,20,47,88.43947,62.42243,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,03,08,20,17,88.43345,62.23550,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,03,14,20,48,88.41954,61.81452,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,03,17,21,18,88.41193,61.62727,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,03,20,21,35,88.40517,61.40909,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,03,23,20,48,88.39966,61.12461,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,04,05,20,24,88.39208,60.43220,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,04,08,20,17,88.38760,60.12214,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,04,11,20,48,88.38159,59.78381,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,04,14,20,48,88.37519,59.42763,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,04,20,21,04,88.35913,58.80066,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,04,23,21,18,88.34951,58.44821,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,05,05,21,07,88.33030,57.74452,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,05,08,20,47,88.31891,57.45499,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,05,11,21,18,88.30721,57.15332,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,05,14,21,16,88.29490,56.79222,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,05,17,21,16,88.28248,56.38072,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,05,20,20,36,88.27592,55.89935,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,05,23,21,16,88.27805,55.43065,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,06,02,21,16,88.28090,55.07561,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,06,05,20,43,88.27974,54.75422,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,06,08,20,47,88.27592,54.50794,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,06,11,21,34,88.27030,54.33364,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,06,14,21,16,88.26381,54.14908,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,06,17,21,34,88.25630,53.99506,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,06,23,20,17,88.23940,53.69093,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,07,05,20,42,88.22419,53.32952,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,07,08,21,41,88.21531,53.13224,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,07,11,20,17,88.20609,52.91381,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,07,14,20,41,88.19625,52.71513,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,07,17,20,17,88.18571,52.48687,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,07,20,21,16,88.17471,52.23338,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,07,23,20,36,88.16427,51.99145,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,08,02,20,36,88.15371,51.75681,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,08,05,20,17,88.14234,51.49114,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,08,08,21,34,88.13141,51.19765,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,08,11,20,48,88.12191,50.95636,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,08,14,20,35,88.11276,50.76632,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,08,17,20,48,88.10331,50.59056,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,08,20,20,47,88.09360,50.41068,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,08,23,21,16,88.08380,50.26541,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,09,05,21,34,88.06234,50.05737,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,09,08,20,47,88.05117,49.96837,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,09,11,21,16,88.03998,49.89808,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,09,14,21,34,88.02858,49.84408,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,09,17,21,16,88.01577,49.75725,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,09,20,20,47,88.00176,49.59513,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,09,23,21,35,87.98836,49.40990,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,10,02,21,16,87.97543,49.29606,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,10,05,21,18,87.96112,49.19014,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,10,08,20,48,87.94735,49.01732,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,10,11,21,18,87.93463,48.83923,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,10,14,21,16,87.92248,48.69280,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,10,17,21,16,87.91162,48.51726,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,10,20,20,17,87.90301,48.27761,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,11,05,20,36,87.89072,47.78592,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,11,08,21,18,87.88599,47.61401,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,11,14,20,17,87.87558,47.37415,0,-999,-999,-1.80,-999,-999,-999
800001,2002,05,11,17,20,17,87.86781,47.29937,0,-999,-999,-1.81,-999,-999,-999
800001,2002,05,11,20,21,04,87.85865,47.19600,0,-999,-999,-1.81,-999,-999,-999
